Saņēmējs,Ziedojuma veids,Vērtība,Deputāts,Frakcija,Datums
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Artūrs Butāns,Frakcija “Nacionālā apvienība”,25/08/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/08/2023
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Jānis Dombrava,Frakcija “Nacionālā apvienība”,21/08/2023
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 50.00,Edmunds Teirumnieks,Frakcija “Nacionālā apvienība”,21/08/2023
PROGRESĪVIE,Nauda,EUR 150.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,10/08/2023
Mēs - Talsiem un novadam,Nauda,EUR 150.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,10/08/2023
LATVIJA PIRMAJĀ VIETĀ,Nauda,EUR 2500.00,Ainārs Šlesers,Frakcija LATVIJA PIRMAJĀ VIETĀ,03/08/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/07/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/06/2023
"Latvijas Reģionu Apvienība, Politiskā partija",Nauda,EUR 200.00,Edvards Smiltēns,"Frakcija “APVIENOTAIS SARAKSTS – Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija”",22/06/2023
PROGRESĪVIE,Biedra nauda,EUR 500.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,20/06/2023
"Kustība ""Par!""",Nauda,EUR 30.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,16/06/2023
"Kustība ""Par!""",Nauda,EUR 20.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,07/06/2023
"Kustība ""Par!""",Nauda,EUR 30.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,03/06/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/05/2023
PROGRESĪVIE,Nauda,EUR 15.00,Leila Rasima,Frakcija PROGRESĪVIE,29/04/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/04/2023
"Kustība ""Par!""",Nauda,EUR 10.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,30/03/2023
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Augusts Brigmanis,Zaļo un Zemnieku savienības frakcija,30/03/2023
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Augusts Brigmanis,Zaļo un Zemnieku savienības frakcija,30/03/2023
PROGRESĪVIE,Nauda,EUR 300.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,30/03/2023
Mēs - Talsiem un novadam,Nauda,EUR 150.00,Edgars Zelderis,Frakcija PROGRESĪVIE,27/03/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/03/2023
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Līga Kļaviņa,Zaļo un Zemnieku savienības frakcija,18/03/2023
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Līga Kozlovska,Zaļo un Zemnieku savienības frakcija,09/03/2023
"Stabilitātei!, Politiskā partija",Manta vai pakalpojums,EUR 871.20,Viktorija Pleškāne,Frakcija “Stabilitātei!”,06/03/2023
LATVIJAS ZEMNIEKU SAVIENĪBA (Centriskā partija Latvijas Zemnieku savienība),Nauda,EUR 15.00,Daiga Mieriņa,Zaļo un Zemnieku savienības frakcija,02/03/2023
Mēs - Talsiem un novadam,Nauda,EUR 100.00,Jana Simanovska,Frakcija PROGRESĪVIE,02/03/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/02/2023
PROGRESĪVIE,Nauda,EUR 500.00,Leila Rasima,Frakcija PROGRESĪVIE,25/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,11/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Zanda Kalniņa-Lukaševica,Frakcija JAUNĀ VIENOTĪBA,10/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Agita Zariņa-Stūre,Frakcija JAUNĀ VIENOTĪBA,09/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 50.00,Ilze Vergina,Frakcija JAUNĀ VIENOTĪBA,07/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Viktorija Baire,Frakcija JAUNĀ VIENOTĪBA,07/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Jānis Patmalnieks,Frakcija JAUNĀ VIENOTĪBA,06/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,06/02/2023
"Kustība ""Par!""",Nauda,EUR 100.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,03/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Agnese Krasta,Frakcija JAUNĀ VIENOTĪBA,03/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Atis Labucis,Frakcija JAUNĀ VIENOTĪBA,02/02/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Uģis Rotbergs,Frakcija JAUNĀ VIENOTĪBA,31/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Anna Rancāne,Frakcija JAUNĀ VIENOTĪBA,31/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ingrīda Circene,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 60.00,Edmunds Jurēvics,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 40.00,Gatis Liepiņš,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"Jaunā VIENOTĪBA (Nacionālās VIENOTĪBAS apvienība; Partijas Jaunais laiks, partijas Pilsoniskā savienība un partijas Sabiedrība Citai Politikai apvienība; VIENOTĪBA)",Nauda,EUR 30.00,Ainars Latkovskis,Frakcija JAUNĀ VIENOTĪBA,30/01/2023
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/01/2023
PROGRESĪVIE,Nauda,EUR 300.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,22/01/2023
PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,Frakcija PROGRESĪVIE,11/01/2023
"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,10/01/2023
PROGRESĪVIE,Biedra nauda,EUR 500.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,05/01/2023
PROGRESĪVIE,Nauda,EUR 1500.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,05/01/2023
PROGRESĪVIE,Nauda,EUR 770.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,31/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/12/2022
PROGRESĪVIE,Nauda,EUR 400.00,Antoņina Ņenaševa,Frakcija PROGRESĪVIE,22/12/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,21/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 100.00,Agita Zariņa-Stūre,Frakcija JAUNĀ VIENOTĪBA,21/12/2022
PROGRESĪVIE,Nauda,EUR 500.00,Andris Šuvajevs,Frakcija PROGRESĪVIE,20/12/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 150.00,Viktorija Pleškāne,Frakcija “Stabilitātei!”,09/12/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 50.00,Igors Judins,Frakcija “Stabilitātei!”,08/12/2022
"Kustība ""Par!""",Nauda,EUR 50.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,01/12/2022
"Kustība ""Par!""",Nauda,EUR 200.00,Mārtiņš Daģis,Frakcija JAUNĀ VIENOTĪBA,01/12/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Leila Rasima,Frakcija PROGRESĪVIE,01/12/2022
"VIENOTĪBA, Partija",Nauda,EUR 25.00,Irma Kalniņa,Frakcija JAUNĀ VIENOTĪBA,25/11/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Igors Judins,Frakcija “Stabilitātei!”,22/11/2022
"Stabilitātei!, Politiskā partija",Biedra nauda,EUR 400.00,Viktorija Pleškāne,Frakcija “Stabilitātei!”,22/11/2022
"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Nauda,EUR 250.00,Edmunds Teirumnieks,Frakcija “Nacionālā apvienība”,16/11/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Jana Simanovska,Frakcija PROGRESĪVIE,15/11/2022
PROGRESĪVIE,Nauda,EUR 500.00,Skaidrīte Ābrama,Frakcija PROGRESĪVIE,12/11/2022
PROGRESĪVIE,Nauda,EUR 150.00,Leila Rasima,Frakcija PROGRESĪVIE,03/11/2022
PROGRESĪVIE,Nauda,EUR 1000.00,Edmunds Cepurītis,Frakcija PROGRESĪVIE,02/11/2022