Municipalities_Map_Names,Municipalities_Data_Names
Rujienas,
Mazsalacas,
Alojas,
Nauksenu,
Salacgrivas,
Apes,
Valkas,Valkas municipality
Aluksne,
Vilakas,
Baltinavas,
Karsavas,
Ciblas,
Ludzas,
Zilupes,
Neretas,
Viesites,
Vecumnieku,
Saldus,Saldus municipality
Rucavas,Rucavas municipality
Priekules,
Vainodes,
Auces,
Bauska,
Tervetes,
Jelgava,
Rundales,
Aknistes,
Ilukstes,
Daugavpils,
Dagdas,
Kraslavas,
Nicas,
Liepāja,Liepājas municipality
Grobinas,
Pavilostas,
Ventspils,Ventspils municipality
Dundagas,
Rojas,Rojas municipality
Talsi,Talsu municipality 
Mersraga,
Engures,
Jurmala,
Riga,Rīgas municipality
Carnikavas,Carnikavas municipality
Saulkrastu,Saulkrastu municipality 
Limbaži,
Smiltenes,
Balvu,
Strencu,
Beverinas,
Burtnieku,
Kocenu,Kocēnu municipality
Rezeknes,
Vecpiebalgas,Vecpiebalgas municipality
Raunas,
Priekulu,Priekuļu municipality
Pargaujas,Pārgaujas municipality
Krimuldas,Krimuldas municipality
Gulbene,
Rugaju,
Jaunpiebalgas,
Aglonas,
Riebinu,
Vilanu,
Babites,Babītes municipality 
Garkalnes,
Kekavas,
Marupes,Mārupes municipality
Olaines,Olaines municipality
Salaspils,
Stopinu,Stopiņu municipality
Sejas,
Malpils,
Siguldas,
Madona,
Lubanas,
Varaklanu,
Amatas,Amatas municipality
Erglu,
Cesvaines,
Ogre,
Ropazu,
Ikskiles,
Baldones,
Keguma,
Iecavas,
Plavinu,
Kokneses,
Aizkraukles,
Skriveru,
Lielvardes,
Jaunjelgavas,
Preilu,Preiļu municipality
Livanu,
Varkavas,
Jekabpils,
Krustpils,
Salas,
Aizputes,
Kuldigas,Kuldīgas municipality
Alsungas,
Skrundas,
Kandavas,
Tukums,Tukuma municipality
Dobele,Dobeles municipality
Jaunpils,
Brocenu,
Ozolnieku,
Jelgava,
Daugavpils,
Rezekne,Rēzeknes municipality
Durbes,
Incukalna,
Ādaži,
Valmiera,Valmieras municipality
Cesu,
Ligatnes,
Jekabpils,